steps	episodes	elapsed	mean	median	stdev	max	min	length_mean	length_median	length_stdev	length_max	length_min	intero_error_mean	blue_eaten	red_eaten	average_value	average_entropy	average_value_loss	average_policy_loss	average_kl_loss	n_updates	explained_variance
3000000	421	4401.772038936615	-172.80448500071148	-175.613497265768	21.369775276547582	-129.13290209323497	-195.30070142602435	6856.3	6761.0	580.5162549164512	7750.0	5698.0	0.6555638038655822	0.2	0.6	-2.1204717	-1.0759656	0.3731192192435265	-0.00748153828229988	0.013759943898767233	1800	0.8024422028058458
6000000	753	9063.970157384872	-152.0767717871213	-139.6496071804618	37.577171929536576	-109.67730211802765	-209.51793112503216	13826.2	12580.5	4541.83119701979	20624.0	8926.0	0.5105370775167579	6.9	5.4	-1.2327827	-1.822157	0.852848128080368	-0.009257351637643296	0.012785601243376733	3600	0.5967195360293921
9000000	913	13740.033352851868	-128.5296802924317	-125.5714602374552	13.756047176745954	-107.34533545462376	-151.3334915541115	15365.3	12493.5	6583.6125350077455	27077.0	9185.0	0.48114990568402394	10.3	11.0	-0.53172183	-2.2183838	1.1953799068927764	-0.010261724098818377	0.013166005564853549	5400	0.3674561148057892
12000000	1036	18606.485554218292	-161.54416832985123	-163.17021456291397	25.874813505779787	-132.14889837622007	-221.53996709136638	33175.9	28246.5	16558.762570849845	54886.0	9987.0	0.49074064207475565	15.4	17.2	-0.77207965	-2.3325818	1.4992567920684814	-0.011343105828855187	0.013191906856372953	7200	0.41529440504456827
15000000	1153	23201.353984594345	-163.5890325832459	-125.60779819726991	111.59952718361943	-102.81969148584818	-474.3966929355808	21803.7	20945.0	11558.712029845232	41079.0	6936.0	0.5223691315518605	22.4	20.0	-0.35449144	-2.571837	1.0041942298412323	-0.011805049421382137	0.013695446057245136	9000	0.46246461908458947
18000000	1268	28420.75460624695	-189.41930754096572	-128.5387231113549	137.8157854476938	-72.54445739962686	-493.69519322548445	26860.0	21020.0	19998.638598109068	60000.0	6973.0	0.5102852067375584	17.9	15.2	-0.50676215	-2.752409	1.0212927013635635	-0.012022748340386897	0.013633279092609883	10800	0.46234464536886555
21000000	1328	33542.020696401596	-124.20976676022556	-122.69182163509419	10.28649110519289	-109.79371560659666	-145.06669724823917	26258.0	20645.5	17548.48575930255	60000.0	9517.0	0.44577171555703676	25.6	27.3	-0.5960924	-3.2291417	0.8561599040031433	-0.012417330374664743	0.013883877489715814	12600	0.5543793626380566
24000000	1376	38579.010018110275	-110.56772487613487	-122.75164339743603	40.020498376202205	-56.62343561795069	-155.16735580345178	48055.0	57853.0	17221.750698204614	60000.0	9736.0	0.40275622111110493	16.9	19.5	-0.68937063	-3.819512	0.5465038734674453	-0.012585941011202521	0.013766043903306126	14400	0.6396502782627485
27000000	1411	43473.98301386833	-84.55191467702623	-64.75031398596533	44.49256780715692	-41.96453854942008	-157.25004247624446	45302.8	60000.0	19540.41785519326	60000.0	11632.0	0.38708738404328497	17.5	16.5	0.32241955	-3.8389463	0.6799941748380661	-0.012328973214607686	0.013842299086973072	16200	0.5898330414915393
30000000	1446	48304.16495656967	-110.37192586767156	-119.96669703056327	46.52032669523591	-37.9817301376321	-185.2958172740059	42127.0	43522.0	18990.91156316621	60000.0	7364.0	0.354306655075398	20.9	19.6	-0.5969999	-4.1329374	0.73117078602314	-0.012524193881545216	0.012988361101597547	18000	0.4998442698777219
33000000	1477	52998.83403778076	-79.26593051561466	-63.226908958746876	43.801951307256054	-37.99883567316955	-149.91277615086867	45877.2	60000.0	20337.28254435407	60000.0	8698.0	0.34921189120818397	20.8	20.7	-0.21169586	-4.3968086	0.3859391638636589	-0.012161365509964526	0.01246756753884256	19800	0.6127075511031448
