steps	episodes	elapsed	mean	median	stdev	max	min	length_mean	length_median	length_stdev	length_max	length_min	intero_error_mean	blue_eaten	red_eaten	average_value	average_entropy	average_value_loss	average_policy_loss	average_kl_loss	n_updates	explained_variance
3000000	389	2399.199777364731	-104.82589176569567	-105.25903510164535	1.3686290415064097	-102.40037956034519	-106.40939365869653	7449.4	7058.0	1313.8082220950075	9750.0	5765.0	0.512306961407856	0.7	0.7	-1.1594365	-1.0483178	0.1713770565390587	-0.006489855760410137	0.013537144958972932	1800	0.731957719816757
6000000	716	5896.042695045471	-108.76944917658784	-107.09171936606985	4.706191875468946	-103.42712989290571	-119.36339696498823	12592.8	10904.0	5191.496568642054	22974.0	7770.0	0.43026406702813585	3.2	3.8	-0.97903985	-1.7654492	0.5817704889178276	-0.009478889761085156	0.01554659178480506	3600	0.42648086193291446
9000000	869	10847.34370803833	-116.68329036145263	-113.45273031602233	8.045001336808266	-108.73964526505556	-132.72647555253627	21847.1	19942.0	9662.913575452627	46428.0	11186.0	0.4395137371089809	27.5	18.0	-0.30086586	-2.249749	0.8151227575540543	-0.010452080880641005	0.015246363366022706	5400	0.3798787800670431
12000000	935	15764.810672998428	-116.12341557900703	-119.4391341331451	16.5403791757318	-75.40383464225732	-133.96854078117045	31840.3	30277.0	14643.479125535707	60000.0	14032.0	0.3560323597198235	29.3	25.7	-0.2559595	-2.5752406	0.5589920216798783	-0.010417183320387267	0.013341044867411255	7200	0.4842230020725886
15000000	958	20655.966806411743	-74.09139340389157	-51.4643500003316	36.37499337075579	-42.251791422699725	-131.54434294292096	45792.0	60000.0	20408.604900874532	60000.0	13180.0	0.3502001336171888	17.5	12.4	-0.2363736	-2.8568687	0.3186479666829109	-0.010751337492838502	0.012951539726927877	9000	0.5119394583676037
18000000	960	25560.07501101494	-57.484134874848436	-46.42073143211455	25.887464327430827	-41.06315804885301	-125.50525735833948	57664.5	60000.0	7385.4994753232495	60000.0	36645.0	0.18855567201604642	3.0	2.4	0.021748997	-3.3501225	0.1361434484273195	-0.011428760898998008	0.013701918255537748	10800	0.6068307153706738
21000000	962	30390.064748048782	-91.46884695196219	-42.76081434520242	123.32055617660151	-39.676068424819846	-432.46915331543914	58074.6	60000.0	4203.362653876061	60000.0	48057.0	0.15009195092541222	3.0	1.7	0.1730096	-3.5470507	0.07147312548011542	-0.010887961146072484	0.012935541337355971	12600	0.6961433413761404
24000000	963	35281.87980079651	-46.01105169864045	-39.74867274187376	20.410007297210704	-37.593755303494156	-103.94731720591669	55289.6	60000.0	14895.592690457133	60000.0	12896.0	0.12934930801578165	6.9	4.8	-0.17775792	-3.7999113	0.029971558693796398	-0.0113978809164837	0.013553678439930082	14400	0.7257390632606256
27000000	963	40168.24376130104	-36.876437217928135	-36.89201387885376	1.6263683179434913	-34.92415691506868	-39.32924193175075	60000.0	60000.0	0.0	60000.0	60000.0	0.06411986197059437	0.0	0.0	-0.1716331	-4.1564455	0.010414954908192157	-0.011689002733910457	0.012242132322862745	16200	0.7879159313454888
30000000	968	44883.258796453476	-44.73939495492776	-35.88459402264712	29.29397137132228	-33.016499439467246	-128.0217288959225	58713.6	60000.0	4067.953982040603	60000.0	47136.0	0.060350206309645896	1.9	1.3	-0.08384828	-4.450643	0.008681365489028394	-0.011127325464040041	0.012064392315223813	18000	0.7484094049494667
