,counts,region,color,mode
0,1.0,"b+,r+",blue,cd
1,2.0,"b+,r+",red,cd
2,14.0,"b-,r+",blue,cd
3,6.0,"b-,r+",red,cd
4,8.0,"b+,r-",blue,cd
5,30.0,"b+,r-",red,cd
6,27.0,"b-,r-",blue,cd
7,12.0,"b-,r-",red,cd
8,1.0,"b+,r+",blue,cd
9,1.0,"b+,r+",red,cd
10,24.0,"b-,r+",blue,cd
11,13.0,"b-,r+",red,cd
12,8.0,"b+,r-",blue,cd
13,18.0,"b+,r-",red,cd
14,17.0,"b-,r-",blue,cd
15,18.0,"b-,r-",red,cd
16,1.0,"b+,r+",blue,cd
17,1.0,"b+,r+",red,cd
18,6.0,"b-,r+",blue,cd
19,3.0,"b-,r+",red,cd
20,32.0,"b+,r-",blue,cd
21,38.0,"b+,r-",red,cd
22,13.0,"b-,r-",blue,cd
23,6.0,"b-,r-",red,cd
24,2.0,"b+,r+",blue,cd
25,1.0,"b+,r+",red,cd
26,10.0,"b-,r+",blue,cd
27,3.0,"b-,r+",red,cd
28,13.0,"b+,r-",blue,cd
29,33.0,"b+,r-",red,cd
30,25.0,"b-,r-",blue,cd
31,13.0,"b-,r-",red,cd
32,1.0,"b+,r+",blue,cd
33,0.0,"b+,r+",red,cd
34,9.0,"b-,r+",blue,cd
35,2.0,"b-,r+",red,cd
36,20.0,"b+,r-",blue,cd
37,34.0,"b+,r-",red,cd
38,20.0,"b-,r-",blue,cd
39,14.0,"b-,r-",red,cd
40,1.0,"b+,r+",blue,cd
41,4.0,"b+,r+",red,cd
42,23.0,"b-,r+",blue,cd
43,10.0,"b-,r+",red,cd
44,14.0,"b+,r-",blue,cd
45,21.0,"b+,r-",red,cd
46,14.0,"b-,r-",blue,cd
47,13.0,"b-,r-",red,cd
48,0.0,"b+,r+",blue,cd
49,0.0,"b+,r+",red,cd
50,23.0,"b-,r+",blue,cd
51,8.0,"b-,r+",red,cd
52,10.0,"b+,r-",blue,cd
53,17.0,"b+,r-",red,cd
54,18.0,"b-,r-",blue,cd
55,24.0,"b-,r-",red,cd
56,1.0,"b+,r+",blue,cd
57,2.0,"b+,r+",red,cd
58,19.0,"b-,r+",blue,cd
59,12.0,"b-,r+",red,cd
60,12.0,"b+,r-",blue,cd
61,24.0,"b+,r-",red,cd
62,18.0,"b-,r-",blue,cd
63,12.0,"b-,r-",red,cd
64,2.0,"b+,r+",blue,cd
65,1.0,"b+,r+",red,cd
66,7.0,"b-,r+",blue,cd
67,4.0,"b-,r+",red,cd
68,16.0,"b+,r-",blue,cd
69,35.0,"b+,r-",red,cd
70,25.0,"b-,r-",blue,cd
71,10.0,"b-,r-",red,cd
72,1.0,"b+,r+",blue,cd
73,0.0,"b+,r+",red,cd
74,23.0,"b-,r+",blue,cd
75,7.0,"b-,r+",red,cd
76,6.0,"b+,r-",blue,cd
77,13.0,"b+,r-",red,cd
78,19.0,"b-,r-",blue,cd
79,31.0,"b-,r-",red,cd
80,3.0,"b+,r+",blue,cd
81,1.0,"b+,r+",red,cd
82,4.0,"b-,r+",blue,cd
83,2.0,"b-,r+",red,cd
84,9.0,"b+,r-",blue,cd
85,29.0,"b+,r-",red,cd
86,34.0,"b-,r-",blue,cd
87,18.0,"b-,r-",red,cd
88,1.0,"b+,r+",blue,cd
89,0.0,"b+,r+",red,cd
90,16.0,"b-,r+",blue,cd
91,15.0,"b-,r+",red,cd
92,13.0,"b+,r-",blue,cd
93,25.0,"b+,r-",red,cd
94,20.0,"b-,r-",blue,cd
95,10.0,"b-,r-",red,cd
96,0.0,"b+,r+",blue,cd
97,0.0,"b+,r+",red,cd
98,20.0,"b-,r+",blue,cd
99,6.0,"b-,r+",red,cd
100,17.0,"b+,r-",blue,cd
101,24.0,"b+,r-",red,cd
102,14.0,"b-,r-",blue,cd
103,19.0,"b-,r-",red,cd
104,2.0,"b+,r+",blue,cd
105,1.0,"b+,r+",red,cd
106,11.0,"b-,r+",blue,cd
107,3.0,"b-,r+",red,cd
108,16.0,"b+,r-",blue,cd
109,24.0,"b+,r-",red,cd
110,24.0,"b-,r-",blue,cd
111,19.0,"b-,r-",red,cd
112,2.0,"b+,r+",blue,cd
113,1.0,"b+,r+",red,cd
114,7.0,"b-,r+",blue,cd
115,4.0,"b-,r+",red,cd
116,18.0,"b+,r-",blue,cd
117,36.0,"b+,r-",red,cd
118,22.0,"b-,r-",blue,cd
119,10.0,"b-,r-",red,cd
120,1.0,"b+,r+",blue,cd
121,1.0,"b+,r+",red,cd
122,20.0,"b-,r+",blue,cd
123,20.0,"b-,r+",red,cd
124,16.0,"b+,r-",blue,cd
125,27.0,"b+,r-",red,cd
126,11.0,"b-,r-",blue,cd
127,4.0,"b-,r-",red,cd
128,0.0,"b+,r+",blue,cd
129,0.0,"b+,r+",red,cd
130,7.0,"b-,r+",blue,cd
131,5.0,"b-,r+",red,cd
132,27.0,"b+,r-",blue,cd
133,39.0,"b+,r-",red,cd
